CARLOS AUGUSTO FERREIRA ALBERNAZ;23517;PPS;-;0;
CARLOS HENRIQUE AMORIM;15333;PMDB;-;0;
CARLOS PEREIRA DOS SANTOS;13151;PT;MUDANÇA PRA VALER;0;
CARLOS WALFREDO REIS;23444;PPS;-;0;
CÁSSIO CHARLES GOMES BORGES;13413;PT;MUDANÇA PRA VALER;0;
CEIR PACHECO NETO;45888;PSDB;UNIÃO E TRABALHO;0;
CESAR HANNA HALUM;25225;PFL;-;0;
CLAUDERLEI DE OLIVEIRA LEITE;31012;PHS;FATO;0;
CLAUDIO HENRIQUE SANTOS;17555;PSL;FATO;0;
CLEBER MENDES MOTA;13000;PT;MUDANÇA PRA VALER;0;
CLESO FERNANDES DE MORAES;65233;PC do B;MUDANÇA PRA VALER;0;
CLEUBER RIBEIRO TEIXEIRA;44000;PRP;FRENTE ALTERNATIVA FATO NOVO;0;
CLEYA BRÍGIDA NUNES;45100;PSDB;UNIÃO E TRABALHO;0;
COLEMAR NATAL CAMARA FERREIRA NUNES DE MELO;25800;PFL;-;0;
CONSTANTINO LOPES GUIMARÃES;40222;PSB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
CRISOSTOMO COSTA VASCONCELOS;22255;PL;UNIÃO PELO TOCANTINS;0;
CUSTODIANA COSTA PINTO;25789;PFL;-;0;
DAGMAR DE ASSIS PORTO;15456;PMDB;-;0;
DALMO LUIZ PIMENTA;14300;PTB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
DANILO UGLÊS SOARES FERREIRA;15111;PMDB;-;0;
DAVID SOUZA AVELINO;26300;PAN;FRENTE ALTERNATIVA FATO NOVO;0;
DELAÍTE ROCHA DA SILVA;23100;PPS;-;0;
DELFINO SERPA DE FREITAS;43555;PV;UNIÃO E TRABALHO;0;
DEODATO COSTA POVOA;25234;PFL;-;0;
DEUSDEDIT NUNES PINHEIRO SOBRINHO;45800;PSDB;UNIÃO E TRABALHO;0;
DIVINA MARCIA DE ALMEIDA AGUIAR;17900;PSL;FATO;0;
DJACY ALMEIDA DA SILVA;65678;PC do B;MUDANÇA PRA VALER;0;
DJANIRA RIBEIRO CARVALHO;70700;PT do B;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
DORIVAL MESSIAS DE SOUZA;25147;PFL;-;0;
EDILEISE BEZERRA OLIVEIRA;36258;PTC;FRENTE ALTERNATIVA FATO NOVO;0;
EDISIO BARCELOS;28113;PRTB;FATO;0;
EDIVALDO DE SOUSA CAMPOS;43222;PV;UNIÃO E TRABALHO;0;
EDIVAN DE CARVALHO MIRANDA;13789;PT;MUDANÇA PRA VALER;0;
EDMILSON MANOEL SILVA;13153;PT;MUDANÇA PRA VALER;0;
EDMONES DE JESUS MATOS DA SILVA;45611;PSDB;UNIÃO E TRABALHO;0;
EDSON CARVALHO ALENCAR;65500;PC do B;MUDANÇA PRA VALER;0;
EDUARDO BONAGURA;23222;PPS;-;0;
EDUARDO GOMES;25255;PFL;-;0;
EDUARDO MÁRCIO RIBEIRO DE CARVALHO;50363;PSOL;-;0;
ELI DIAS BORGES;15000;PMDB;-;0;
ELIANE SOARES DA SILVA;28888;PRTB;FATO;0;
ELIENE FERREIRA DA SILVA;65555;PC do B;MUDANÇA PRA VALER;0;
ELISANGELA CAETANO DA SILVA;31015;PHS;FATO;0;
ELMIR JOSE ALVES;25313;PFL;-;0;
ELTON JOSÉ DA SILVA;12612;PDT;FRENTE ALTERNATIVA FATO NOVO;0;
EUDES SOARES DA SILVA;45789;PSDB;UNIÃO E TRABALHO;0;
